GEO.id2,Majority,MAX,HC01_EST_VC01,HC01_EST_VC03,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC55
36005000100,"Car, truck, or van",0,0,0,0,0,0,0,0,0,0,0
36005000200,"Car, truck, or van",61.3,1835,61.3,51.8,9.4,33.5,3.9,0,0.9,0.5,41.8
36005000400,"Car, truck, or van",52,2848,52,44.1,7.9,43.9,1.6,0.4,0.2,1.9,47.7
36005001600,Public transportation (excluding taxicab),47.2,2098,41.6,36.2,5.4,47.2,7.3,0,0,3.9,38.6
36005001900,Public transportation (excluding taxicab),67.4,1250,22.6,20.1,2.6,67.4,6.1,1,1,1.9,44.1
36005002000,Public transportation (excluding taxicab),62.4,2367,28.8,26.6,2.2,62.4,7.1,0,1.2,0.5,41
36005002300,Public transportation (excluding taxicab),81.3,1223,8.4,4.8,3.6,81.3,9.9,0,0.3,0.1,41.4
36005002400,Public transportation (excluding taxicab),100,104,0,0,0,100,0,0,0,0,0
36005002500,Public transportation (excluding taxicab),68.7,2147,9.3,7.1,2.1,68.7,14,4.2,1.9,2,40.2
36005002701,Public transportation (excluding taxicab),65,959,13.6,11.7,1.9,65,20.1,0,0,1.4,43
36005002702,Public transportation (excluding taxicab),84.2,1421,10.7,5.8,4.9,84.2,3.4,0.8,0,0.9,49.7
36005002800,"Car, truck, or van",47.8,2439,47.8,46.5,1.3,47,1.9,0,3.3,0,48.3
36005003100,Public transportation (excluding taxicab),62.9,801,26.2,26.2,0,62.9,9.7,0,1.1,0,38.3
36005003300,Public transportation (excluding taxicab),67.6,864,17.8,10.3,7.5,67.6,10,0,0.7,3.9,44.8
36005003500,Public transportation (excluding taxicab),56.9,1280,33.1,29.3,3.8,56.9,2.6,0,0,7.4,48.8
36005003700,Public transportation (excluding taxicab),67,112,22.3,22.3,0,67,10.7,0,0,0,34.7
36005003800,Public transportation (excluding taxicab),48.3,545,43.1,41.7,1.5,48.3,6.2,0,2.4,0,38.6
36005003900,Public transportation (excluding taxicab),79.5,2806,9.5,7,2.5,79.5,7.1,0,1.1,2.9,40.8
36005004001,Public transportation (excluding taxicab),58.3,533,32.6,30,2.6,58.3,7.1,0,0,1.9,40.6
36005004100,Public transportation (excluding taxicab),73.4,1713,5.3,5.3,0,73.4,11.7,2,6.1,1.6,39.9
36005004200,Public transportation (excluding taxicab),57.9,1969,25.3,24,1.3,57.9,14,0,1.9,0.9,45.3
36005004300,Public transportation (excluding taxicab),62.3,1953,19.6,16.9,2.7,62.3,13.4,0,0.6,4.2,39
36005004400,Public transportation (excluding taxicab),63.7,1058,19.7,12.8,6.9,63.7,8.5,0,1.7,6.4,45.5
36005004600,Public transportation (excluding taxicab),55.4,722,30.9,24.9,6,55.4,13.7,0,0,0,40.3
36005004800,Public transportation (excluding taxicab),68.7,1976,23.5,19.4,4.1,68.7,4.6,0,0,3.3,43.2
36005005001,Public transportation (excluding taxicab),69.2,1718,13.7,10.4,3.3,69.2,14.1,0,0,2.9,47.1
36005005002,Public transportation (excluding taxicab),72.7,2344,11.6,9.4,2.3,72.7,12.9,1.2,0,1.5,49.1
36005005100,Public transportation (excluding taxicab),81.9,1768,7.4,6.8,0.6,81.9,9.8,0,0.6,0.3,39.2
36005005200,Public transportation (excluding taxicab),65.5,780,14,8.8,5.1,65.5,12.9,5,2.6,0,40.4
36005005300,Public transportation (excluding taxicab),73.5,922,16.8,13.3,3.5,73.5,7.8,0,1.8,0,55.8
36005005400,Public transportation (excluding taxicab),67.9,2765,15.1,12.2,2.9,67.9,9.3,1.2,3.5,3,47.2
36005005600,Public transportation (excluding taxicab),57.4,826,27.7,21.7,6.1,57.4,11.4,0,0.8,2.7,43.5
36005005902,Public transportation (excluding taxicab),69.1,1218,16,14.3,1.7,69.1,9.2,0.5,0.2,5,41.8
36005006000,Public transportation (excluding taxicab),56.9,494,28.3,25.3,3,56.9,3.6,1.4,0,9.7,40.1
36005006100,Public transportation (excluding taxicab),60.1,1461,35.2,33.8,1.4,60.1,2.6,0,1.1,1,37.8
36005006200,Public transportation (excluding taxicab),75.7,2376,11.2,8.6,2.6,75.7,5.6,1.4,2.3,3.8,44.6
36005006300,Public transportation (excluding taxicab),78.8,1941,10.3,7.9,2.4,78.8,8.6,0,2.4,0,42.9
36005006400,Public transportation (excluding taxicab),56.7,1108,39,35.5,3.5,56.7,2.5,0,0.9,0.9,46.1
36005006500,Public transportation (excluding taxicab),71,2067,9.6,7.2,2.5,71,15.9,0,0,3.5,39.8
36005006700,Public transportation (excluding taxicab),66.2,2222,10.8,6.8,4.1,66.2,11.5,1.5,2.8,7.2,42.7
36005006800,Public transportation (excluding taxicab),63.8,1485,26.1,19.9,6.2,63.8,6.1,0,3.9,0,44.6
36005006900,Public transportation (excluding taxicab),59.7,3064,23.1,19.9,3.2,59.7,11.5,0,1.3,4.4,36.7
36005007000,Public transportation (excluding taxicab),73.8,1931,20.9,19.1,1.8,73.8,3.6,0.5,0,1.2,47.3
36005007100,Public transportation (excluding taxicab),68.6,1203,25.7,25.7,0,68.6,4.3,0,1.4,0,48.3
36005007200,Public transportation (excluding taxicab),56.4,2243,33.1,32.5,0.6,56.4,8.7,0,0.7,1,41.9
36005007300,Public transportation (excluding taxicab),62.6,1360,10.4,5.2,5.1,62.6,9.8,0,0.4,16.9,47.7
36005007400,"Car, truck, or van",46.4,1472,46.4,40.1,6.3,43.9,4.6,0,0,5.1,51.7
36005007500,Public transportation (excluding taxicab),68.4,2124,21.8,15.4,6.5,68.4,4.8,0.9,0.4,3.6,45.7
36005007600,Public transportation (excluding taxicab),64.2,2074,30.5,23,7.6,64.2,1.4,0,1.5,2.4,43.1
36005007700,Public transportation (excluding taxicab),59.4,700,28.1,15.4,12.7,59.4,7.3,1.9,0,3.3,43.8
36005007800,Public transportation (excluding taxicab),64.3,2710,26.4,18.1,8.3,64.3,5.8,0,1.4,2.1,44.2
36005007900,Public transportation (excluding taxicab),67.1,2408,14.8,12.2,2.6,67.1,7.9,2,3.4,4.8,40.9
36005008300,Public transportation (excluding taxicab),73.3,2571,14.7,12.4,2.3,73.3,6.4,0,1.8,3.9,46.3
36005008400,Public transportation (excluding taxicab),52.5,1390,42.6,36.4,6.2,52.5,4.6,0,0.3,0,42.7
36005008500,Public transportation (excluding taxicab),69.7,2283,20.3,17.2,3.2,69.7,6.4,0.7,1.2,1.6,39.6
36005008600,Public transportation (excluding taxicab),71.9,1400,20,14.8,5.2,71.9,8.1,0,0,0,49.8
36005008700,Public transportation (excluding taxicab),76.5,2110,13,9.7,3.3,76.5,4.4,0.4,2,3.6,46.9
36005008900,Public transportation (excluding taxicab),63.5,1123,17.9,12.5,5.4,63.5,8.8,0,2.9,6.9,40.3
36005009000,Public transportation (excluding taxicab),60.6,1186,33.6,25.8,7.8,60.6,2.7,0,3,0,49.1
36005009200,Public transportation (excluding taxicab),69.4,2773,22.9,16.6,6.3,69.4,3.8,0,2.5,1.4,51.3
36005009300,Public transportation (excluding taxicab),51.8,2029,24.7,23,1.7,51.8,18,0,0.7,4.7,45.3
36005009600,Public transportation (excluding taxicab),51.1,855,34.6,27,7.6,51.1,10.1,0,1.4,2.8,42.6
36005009800,"Car, truck, or van",50.8,2473,50.8,43.7,7.2,44.3,3.8,0.4,0.6,0,46.9
36005011000,"Car, truck, or van",50,54,50,50,0,27.8,0,0,0,22.2,0
36005011502,Public transportation (excluding taxicab),63.6,1397,24.9,20.7,4.2,63.6,7.1,0,0.6,3.8,43.7
36005011700,Public transportation (excluding taxicab),62.4,548,11.3,10.2,1.1,62.4,17.3,0,0,8.9,44.1
36005011800,"Car, truck, or van",56.6,2122,56.6,46.6,10,30.3,6.7,0.5,0.9,5,36.9
36005011900,Public transportation (excluding taxicab),77.1,1894,11,7.7,3.4,77.1,7.5,0.6,0,3.7,46.9
36005012101,Public transportation (excluding taxicab),77.8,1178,17.1,13.8,3.2,77.8,1.7,1,0,2.4,47.5
36005012102,Public transportation (excluding taxicab),74.2,465,18.1,15.9,2.2,74.2,7.7,0,0,0,44.1
36005012300,Public transportation (excluding taxicab),68.3,1507,18.2,13.9,4.3,68.3,8.6,0,0.7,4.3,43.1
36005012500,Public transportation (excluding taxicab),53,1746,31.1,29.2,1.9,53,9.1,1.1,2.7,2.9,41.5
36005012701,Public transportation (excluding taxicab),72.9,663,11.8,9.8,2,72.9,11.5,0,3.5,0.5,42.5
36005012901,Public transportation (excluding taxicab),76.3,1169,13,5.8,7.2,76.3,7,0,0,3.7,49.7
36005013000,"Car, truck, or van",70,767,70,56.3,13.7,27.8,1.8,0,0,0.4,42.8
36005013100,Public transportation (excluding taxicab),58.9,1968,26.3,23.3,3,58.9,7.9,0,3.7,3.2,46.2
36005013200,"Car, truck, or van",63.5,3545,63.5,55.5,8,28.1,5.5,0,1.8,1,44.7
36005013300,Public transportation (excluding taxicab),65.6,1882,23.9,20.6,3.3,65.6,10.5,0,0,0,42.1
36005013500,Public transportation (excluding taxicab),59.9,1293,20,18.9,1.1,59.9,9.6,0,3.6,6.9,41
36005013800,"Car, truck, or van",75.1,1033,75.1,59.5,15.6,23.5,1.4,0,0,0,33.3
36005014100,Public transportation (excluding taxicab),65.4,2270,20.4,19.3,1.2,65.4,12.8,0,0,1.4,43.4
36005014300,Public transportation (excluding taxicab),65,391,12,10.5,1.5,65,23,0,0,0,38.8
36005014400,Public transportation (excluding taxicab),56.1,1636,37,33.3,3.7,56.1,7,0,0,0,58.2
36005014500,Public transportation (excluding taxicab),64.3,2306,27.3,18.1,9.2,64.3,8.5,0,0,0,51.4
36005014701,Public transportation (excluding taxicab),71.4,1852,13,10.7,2.3,71.4,11.1,0,0,4.4,41
36005014702,Public transportation (excluding taxicab),83.4,1750,11.5,11,0.5,83.4,2.7,0,0,2.4,48
36005014900,Public transportation (excluding taxicab),60.8,1597,31.9,31.7,0.2,60.8,2.9,0.4,0,4,41.9
36005015100,Public transportation (excluding taxicab),69.5,1820,22,18.6,3.4,69.5,7.6,0,0,0.9,51.3
36005015200,"Car, truck, or van",65.9,1355,65.9,41.8,24.1,29.2,2,0,1.5,1.4,34.9
36005015300,Public transportation (excluding taxicab),54,1617,29.3,26.7,2.7,54,9.2,0,2.4,5.2,39.6
36005015500,Public transportation (excluding taxicab),61.9,877,21.3,18.8,2.5,61.9,12.2,0,1.1,3.4,42
36005015700,Public transportation (excluding taxicab),74.8,2059,19.2,19.2,0,74.8,5.1,0,0.4,0.4,45.2
36005015800,Public transportation (excluding taxicab),44.7,515,42.1,37.9,4.3,44.7,4.9,0,5,3.3,39.3
36005015900,Public transportation (excluding taxicab),65.3,507,17.9,17.9,0,65.3,10.5,3.2,0,3.2,40.5
36005016000,"Car, truck, or van",70.6,1875,70.6,57.7,12.9,20.7,2.8,0,1.5,4.4,37.6
36005016100,Public transportation (excluding taxicab),66.7,1602,27.7,20.3,7.4,66.7,3.5,0,0,2.1,40.2
36005016200,"Car, truck, or van",60.7,905,60.7,50.6,10.1,27.1,8,0,0,4.3,36.4
36005016300,"Car, truck, or van",0,0,0,0,0,0,0,0,0,0,0
36005016400,"Car, truck, or van",53.8,429,53.8,43.1,10.7,35.7,2.6,0,3.5,4.4,39.3
36005016500,Public transportation (excluding taxicab),48.6,362,31.2,30.1,1.1,48.6,11.3,0,1.4,7.5,40
36005016600,"Car, truck, or van",49,1109,49,41.8,7.1,41.7,5.7,0,0,3.6,43.5
36005016700,Public transportation (excluding taxicab),64.6,1002,28,22.2,5.9,64.6,1.5,0,4.4,1.5,45.3
36005016900,Public transportation (excluding taxicab),57.3,503,31.6,30.2,1.4,57.3,9.7,0,1.4,0,53
36005017100,"Car, truck, or van",0,0,0,0,0,0,0,0,0,0,0
36005017300,Public transportation (excluding taxicab),82.4,1920,4.3,2,2.2,82.4,13.3,0,0,0,43.7
36005017500,Public transportation (excluding taxicab),68.5,2537,12,10.7,1.3,68.5,11.3,0,0.3,7.9,42.2
36005017701,Public transportation (excluding taxicab),56.4,1956,28.3,14.7,13.6,56.4,8.9,3,3.4,0,34.6
36005017702,Public transportation (excluding taxicab),63.1,2145,23.3,19.8,3.5,63.1,6.8,0,2.8,4.1,42.3
36005017901,Public transportation (excluding taxicab),72.3,1925,14.9,14.9,0,72.3,10.5,0,0,2.4,42.5
